team1,team2,score1,score2,odds1,odds2,datetime,notes
St.Louis Cardinals,Texas Rangers,6,2,-137,+118,29 Oct 2011 00:05,Play Offs
St.Louis Cardinals,Texas Rangers,10,9 ,-116,-101,28 Oct 2011 00:05,Play Offs
Texas Rangers,St.Louis Cardinals,4,2,-133,+114,25 Oct 2011 00:05,Play Offs
Texas Rangers,St.Louis Cardinals,4,0,-175,+152,24 Oct 2011 00:05,Play Offs
Texas Rangers,St.Louis Cardinals,7,16,-189,+166,23 Oct 2011 00:05,Play Offs
St.Louis Cardinals,Texas Rangers,1,2,+100,-119,21 Oct 2011 00:05,Play Offs
St.Louis Cardinals,Texas Rangers,3,2,-128,+110,20 Oct 2011 00:05,Play Offs
Milwaukee Brewers,St.Louis Cardinals,6,12,-130,+110,17 Oct 2011 00:05,Play Offs
Texas Rangers,Detroit Tigers,15,5,-159,+137,16 Oct 2011 00:05,Play Offs
St.Louis Cardinals,Milwaukee Brewers,7,1,-127,+108,15 Oct 2011 00:05,Play Offs
St.Louis Cardinals,Milwaukee Brewers,2,4,-147,+127,14 Oct 2011 00:05,Play Offs
Detroit Tigers,Texas Rangers,7,5,-152,+129,13 Oct 2011 20:19,Play Offs
St.Louis Cardinals,Milwaukee Brewers,4,3,-156,+135,13 Oct 2011 00:05,Play Offs
Detroit Tigers,Texas Rangers,3,7 ,+104,-123,12 Oct 2011 20:19,Play Offs
Detroit Tigers,Texas Rangers,5,2,-128,+110,12 Oct 2011 00:05,Play Offs
Milwaukee Brewers,St.Louis Cardinals,3,12,-137,+118,11 Oct 2011 00:05,Play Offs
Texas Rangers,Detroit Tigers,7,3 ,-154,+136,10 Oct 2011 20:19,Play Offs
Milwaukee Brewers,St.Louis Cardinals,9,6,-152,+129,09 Oct 2011 20:05,Play Offs
Texas Rangers,Detroit Tigers,3,2,-105,-110,09 Oct 2011 00:05,Play Offs
Philadelphia Phillies,St.Louis Cardinals,0,1,-182,+156,08 Oct 2011 00:30,Play Offs
Milwaukee Brewers,Arizona Diamondbacks,3,2 ,-161,+138,07 Oct 2011 21:00,Play Offs
New York Yankees,Detroit Tigers,2,3,-175,+152,07 Oct 2011 00:00,Play Offs
Arizona Diamondbacks,Milwaukee Brewers,10,6,-106,-110,06 Oct 2011 01:30,Play Offs
St.Louis Cardinals,Philadelphia Phillies,5,3,+102,-120,05 Oct 2011 22:00,Play Offs
Arizona Diamondbacks,Milwaukee Brewers,8,1,+102,-119,05 Oct 2011 01:30,Play Offs
Detroit Tigers,New York Yankees,1,10,+104,-122,05 Oct 2011 00:30,Play Offs
St.Louis Cardinals,Philadelphia Phillies,2,3,+110,-128,04 Oct 2011 21:00,Play Offs
Tampa Bay Rays,Texas Rangers,3,4,-112,-104,04 Oct 2011 18:00,Play Offs
Detroit Tigers,New York Yankees,5,4,-127,+108,04 Oct 2011 00:30,Play Offs
Tampa Bay Rays,Texas Rangers,3,4,-123,+104,03 Oct 2011 21:00,Play Offs
Philadelphia Phillies,St.Louis Cardinals,4,5,-185,+162,03 Oct 2011 00:30,Play Offs
Milwaukee Brewers,Arizona Diamondbacks,9,4,-172,+148,02 Oct 2011 21:00,Play Offs
New York Yankees,Detroit Tigers,3,5,-149,+131,02 Oct 2011 19:00,Play Offs
New York Yankees,Detroit Tigers,9,3,-169,+150,02 Oct 2011 00:37,Play Offs
Texas Rangers,Tampa Bay Rays,8,6,-127,+108,01 Oct 2011 23:00,Play Offs
Philadelphia Phillies,St.Louis Cardinals,11,6,-233,+194,01 Oct 2011 21:00,Play Offs
Milwaukee Brewers,Arizona Diamondbacks,4,1,-145,+125,01 Oct 2011 18:00,Play Offs
Texas Rangers,Tampa Bay Rays,0,9,-182,+156,30 Sep 2011 21:07,Play Offs
Seattle Mariners,Oakland Athletics,0,2,+152,-175,29 Sep 2011 02:10,Play Offs
Arizona Diamondbacks,Los Angeles Dodgers,5,7,-123,+106,29 Sep 2011 01:40,Play Offs
San Diego Padres,Chicago Cubs,9,2,-116,-101,29 Sep 2011 00:35,Play Offs
Milwaukee Brewers,Pittsburgh Pirates,7,3,-233,+200,29 Sep 2011 00:10,Play Offs
Minnesota Twins,Kansas City Royals,1,0,+102,-120,29 Sep 2011 00:10,Play Offs
Houston Astros,St.Louis Cardinals,0,8,+163,-182,29 Sep 2011 00:05,Play Offs
Los Angeles Angels,Texas Rangers,1,3,+138,-156,29 Sep 2011 00:05,Play Offs
Atlanta Braves,Philadelphia Phillies,3,4 ,-185,+163,28 Sep 2011 23:10,Play Offs
Tampa Bay Rays,New York Yankees,8,7 ,-256,+213,28 Sep 2011 23:10,Play Offs
Baltimore Orioles,Boston Red Sox,4,3,+164,-189,28 Sep 2011 23:05,Play Offs
Detroit Tigers,Cleveland Indians,5,4,-179,+156,28 Sep 2011 23:05,Play Offs
Miami Marlins,Washington Nationals,1,3,+124,-143,28 Sep 2011 20:10,Play Offs
San Francisco Giants,Colorado Rockies,3,6,-137,+121,28 Sep 2011 19:45,
Chicago White Sox,Toronto Blue Jays,2,3,+117,-135,28 Sep 2011 18:10,
New York Mets,Cincinnati Reds,3,0,+102,-119,28 Sep 2011 17:10,
San Francisco Giants,Colorado Rockies,7,0,-200,+170,28 Sep 2011 02:15,
Seattle Mariners,Oakland Athletics,0,7,-106,-111,28 Sep 2011 02:10,
Los Angeles Angels,Texas Rangers,3,10,+125,-143,28 Sep 2011 02:05,
San Diego Padres,Chicago Cubs,2,6,+106,-123,28 Sep 2011 02:05,
Arizona Diamondbacks,Los Angeles Dodgers,7,6 ,-110,-108,28 Sep 2011 01:40,
Chicago White Sox,Toronto Blue Jays,2,1,-109,-109,28 Sep 2011 00:10,
Milwaukee Brewers,Pittsburgh Pirates,6,4,-200,+172,28 Sep 2011 00:10,
Minnesota Twins,Kansas City Royals,7,4,-111,-106,28 Sep 2011 00:10,
Houston Astros,St.Louis Cardinals,6,13,+165,-192,28 Sep 2011 00:05,
Atlanta Braves,Philadelphia Phillies,1,7,-110,-108,27 Sep 2011 23:10,
Miami Marlins,Washington Nationals,3,2,-164,+142,27 Sep 2011 23:10,
New York Mets,Cincinnati Reds,4,5 ,-120,+102,27 Sep 2011 23:10,
Tampa Bay Rays,New York Yankees,5,3,-192,+166,27 Sep 2011 23:10,
Baltimore Orioles,Boston Red Sox,7,8,+140,-164,27 Sep 2011 23:05,
Detroit Tigers,Cleveland Indians,9,6,-179,+154,27 Sep 2011 23:05,
San Francisco Giants,Colorado Rockies,3,1,-132,+112,27 Sep 2011 02:15,
Seattle Mariners,Oakland Athletics,4,2,+116,-135,27 Sep 2011 02:10,
Los Angeles Angels,Texas Rangers,3,4,-122,+104,27 Sep 2011 02:05,
San Diego Padres,Chicago Cubs,2,0,-185,+160,27 Sep 2011 02:05,
Arizona Diamondbacks,Los Angeles Dodgers,2,4,-175,+152,27 Sep 2011 01:40,
Chicago White Sox,Toronto Blue Jays,4,3,-130,+110,27 Sep 2011 00:10,
Milwaukee Brewers,Pittsburgh Pirates,8,9,-196,+168,27 Sep 2011 00:10,
Minnesota Twins,Kansas City Royals,3,7,+114,-133,27 Sep 2011 00:10,
Houston Astros,St.Louis Cardinals,5,4 ,+133,-154,27 Sep 2011 00:05,
Miami Marlins,Washington Nationals,4,6,-152,+142,27 Sep 2011 00:05,
Atlanta Braves,Philadelphia Phillies,2,4,+125,-145,26 Sep 2011 23:10,
New York Mets,Cincinnati Reds,5,6,+102,-120,26 Sep 2011 23:10,
Tampa Bay Rays,New York Yankees,5,2,-227,+191,26 Sep 2011 23:10,
Baltimore Orioles,Boston Red Sox,6,3,+177,-208,26 Sep 2011 23:05,
Detroit Tigers,Cleveland Indians,14,0,-152,+131,26 Sep 2011 23:05,
New York Yankees,Boston Red Sox,4,7 ,-147,+129,25 Sep 2011 22:30,
Arizona Diamondbacks,San Francisco Giants,5,2,+112,-130,25 Sep 2011 20:10,
San Diego Padres,Los Angeles Dodgers,2,6,+122,-141,25 Sep 2011 20:05,
Los Angeles Angels,Oakland Athletics,5,6,-115,-103,25 Sep 2011 19:35,
Texas Rangers,Seattle Mariners,12,5,-227,+190,25 Sep 2011 19:05,
St.Louis Cardinals,Chicago Cubs,3,2,-204,+174,25 Sep 2011 18:15,
Chicago White Sox,Kansas City Royals,1,2,-145,+125,25 Sep 2011 18:10,
Milwaukee Brewers,Miami Marlins,9,5,-143,+124,25 Sep 2011 18:10,
New York Mets,Philadelphia Phillies,4,9,+171,-200,25 Sep 2011 18:10,
Houston Astros,Colorado Rockies,3,19,-106,-111,25 Sep 2011 18:05,
