team1,team2,score1,score2,odds1,odds2,datetime,notes
Milwaukee Brewers,Chicago Cubs,4,6,-143,+127,27 Sep 2014 00:10,
Texas Rangers,Oakland Athletics,2,6,+152,-172,27 Sep 2014 00:05,
Boston Red Sox,New York Yankees,2,3,-137,+120,26 Sep 2014 23:10,
Cincinnati Reds,Pittsburgh Pirates,1,3,+134,-154,26 Sep 2014 23:10,
New York Mets,Houston Astros,1,3,-156,+139,26 Sep 2014 23:10,
Detroit Tigers,Minnesota Twins,4,11,-217,+188,26 Sep 2014 23:08,
Toronto Blue Jays,Baltimore Orioles,4,2,-125,+110,26 Sep 2014 23:07,
Cleveland Indians,Tampa Bay Rays,1,0,-192,+170,26 Sep 2014 23:05,
Philadelphia Phillies,Atlanta Braves,5,4,+106,-122,26 Sep 2014 23:05,
Washington Nationals,Miami Marlins,7,15,-141,+125,26 Sep 2014 23:05,
Washington Nationals,Miami Marlins,4,0,-204,+177,26 Sep 2014 17:05,
San Francisco Giants,San Diego Padres,9,8,-135,+119,26 Sep 2014 02:15,
Chicago White Sox,Kansas City Royals,3,6,+125,-143,26 Sep 2014 00:10,
Texas Rangers,Oakland Athletics,2,1,+129,-147,26 Sep 2014 00:05,
Atlanta Braves,Pittsburgh Pirates,1,10,+108,-125,25 Sep 2014 23:10,
Boston Red Sox,Tampa Bay Rays,11,1,+108,-122,25 Sep 2014 23:10,
Detroit Tigers,Minnesota Twins,4,2,-303,+254,25 Sep 2014 23:08,
New York Yankees,Baltimore Orioles,6,5,-135,+118,25 Sep 2014 23:05,
Washington Nationals,New York Mets,3,0,-169,+154,25 Sep 2014 23:05,
Miami Marlins,Philadelphia Phillies,6,4,-130,+114,25 Sep 2014 20:10,
Toronto Blue Jays,Seattle Mariners,5,7,+110,-123,25 Sep 2014 20:07,
Washington Nationals,New York Mets,4,7,-154,+140,25 Sep 2014 17:05,
Cincinnati Reds,Milwaukee Brewers,5,3,+143,-161,25 Sep 2014 16:35,
Los Angeles Dodgers,San Francisco Giants,9,1,-278,+239,25 Sep 2014 02:10,
San Diego Padres,Colorado Rockies,4,3,-130,+114,25 Sep 2014 01:10,
Chicago Cubs,St.Louis Cardinals,3,1,-104,-109,25 Sep 2014 00:05,
Texas Rangers,Houston Astros,5,1,-105,-108,25 Sep 2014 00:05,
Atlanta Braves,Pittsburgh Pirates,6,2,-135,+120,24 Sep 2014 23:10,
Boston Red Sox,Tampa Bay Rays,11,3,+146,-164,24 Sep 2014 23:10,
Cincinnati Reds,Milwaukee Brewers,0,5,+131,-149,24 Sep 2014 23:10,
Miami Marlins,Philadelphia Phillies,1,2,-119,+106,24 Sep 2014 23:10,
Toronto Blue Jays,Seattle Mariners,1,0,-127,+112,24 Sep 2014 23:07,
Cleveland Indians,Kansas City Royals,6,4,+106,-120,24 Sep 2014 23:05,
Oakland Athletics,Los Angeles Angels,4,5,-189,+168,24 Sep 2014 19:35,
Minnesota Twins,Arizona Diamondbacks,2,1,-167,+148,24 Sep 2014 17:10,
Detroit Tigers,Chicago White Sox,6,1,-111,-102,24 Sep 2014 17:08,
New York Yankees,Baltimore Orioles,5,9,-123,+108,24 Sep 2014 17:05,
Los Angeles Dodgers,San Francisco Giants,4,2,-127,+112,24 Sep 2014 02:10,
San Diego Padres,Colorado Rockies,2,3,-139,+123,24 Sep 2014 02:10,
Oakland Athletics,Los Angeles Angels,0,2,-161,+144,24 Sep 2014 02:05,
Minnesota Twins,Arizona Diamondbacks,6,3,-128,+114,24 Sep 2014 00:10,
Chicago Cubs,St.Louis Cardinals,4,3,+102,-118,24 Sep 2014 00:05,
Texas Rangers,Houston Astros,2,1,-106,-106,24 Sep 2014 00:05,
Atlanta Braves,Pittsburgh Pirates,2,3,-108,-105,23 Sep 2014 23:10,
Boston Red Sox,Tampa Bay Rays,2,6,+118,-133,23 Sep 2014 23:10,
Cincinnati Reds,Milwaukee Brewers,3,1,-115,+102,23 Sep 2014 23:10,
Miami Marlins,Philadelphia Phillies,2,0,+129,-147,23 Sep 2014 23:10,
Detroit Tigers,Chicago White Sox,4,3,-312,+263,23 Sep 2014 23:08,
Toronto Blue Jays,Seattle Mariners,10,2,+158,-175,23 Sep 2014 23:07,
Cleveland Indians,Kansas City Royals,1,7,-122,+108,23 Sep 2014 23:05,
New York Yankees,Baltimore Orioles,4,5,-167,+150,23 Sep 2014 23:05,
Washington Nationals,New York Mets,4,2,-179,+159,23 Sep 2014 23:05,
Los Angeles Dodgers,San Francisco Giants,2,5,-115,+102,23 Sep 2014 02:10,
San Diego Padres,Colorado Rockies,1,0,-128,+112,23 Sep 2014 02:10,
Oakland Athletics,Los Angeles Angels,8,4,-156,+138,23 Sep 2014 02:05,
Minnesota Twins,Arizona Diamondbacks,2,6,-130,+114,23 Sep 2014 00:10,
Chicago Cubs,St.Louis Cardinals,0,8,+159,-179,23 Sep 2014 00:05,
Texas Rangers,Houston Astros,4,3,-139,+123,23 Sep 2014 00:05,
Atlanta Braves,Pittsburgh Pirates,0,1,+137,-154,22 Sep 2014 23:10,
Detroit Tigers,Chicago White Sox,0,2,-182,+164,22 Sep 2014 23:08,
Toronto Blue Jays,Seattle Mariners,14,4,-101,-112,22 Sep 2014 23:07,
Cleveland Indians,Kansas City Royals,0,2,-115,+104,22 Sep 2014 23:05,
New York Yankees,Baltimore Orioles,5,0,-116,+102,22 Sep 2014 23:05,
Kansas City Royals,Cleveland Indians,3,4,-102,-116,22 Sep 2014 22:05,
St.Louis Cardinals,Cincinnati Reds,2,7,-185,+164,22 Sep 2014 00:05,
Colorado Rockies,Arizona Diamondbacks,8,3,-102,-111,21 Sep 2014 20:10,
San Diego Padres,San Francisco Giants,8,2,-112,-101,21 Sep 2014 20:10,
Oakland Athletics,Philadelphia Phillies,8,6,-222,+191,21 Sep 2014 20:05,
Los Angeles Angels,Texas Rangers,1,2,-204,+177,21 Sep 2014 19:35,
Chicago Cubs,Los Angeles Dodgers,5,8,+125,-141,21 Sep 2014 18:20,
Houston Astros,Seattle Mariners,8,3,+129,-147,21 Sep 2014 18:10,
Kansas City Royals,Detroit Tigers,5,2,-105,-109,21 Sep 2014 18:10,
Minnesota Twins,Cleveland Indians,2,7,+150,-169,21 Sep 2014 18:10,
Tampa Bay Rays,Chicago White Sox,5,10,-164,+146,21 Sep 2014 17:40,
Atlanta Braves,New York Mets,2,10,-112,-101,21 Sep 2014 17:35,
Baltimore Orioles,Boston Red Sox,2,3,-152,+135,21 Sep 2014 17:35,
Pittsburgh Pirates,Milwaukee Brewers,1,0,-133,+119,21 Sep 2014 17:35,
Miami Marlins,Washington Nationals,1,2,+145,-164,21 Sep 2014 17:10,
New York Yankees,Toronto Blue Jays,5,2,-147,+133,21 Sep 2014 17:05,
Los Angeles Angels,Texas Rangers,8,5,-222,+193,21 Sep 2014 01:05,
San Diego Padres,San Francisco Giants,3,2,+104,-120,21 Sep 2014 00:40,
St.Louis Cardinals,Cincinnati Reds,8,4,-154,+137,20 Sep 2014 23:15,
Houston Astros,Seattle Mariners,10,1,-114,+100,20 Sep 2014 23:10,
Atlanta Braves,New York Mets,2,4,-132,+116,20 Sep 2014 23:10,
Miami Marlins,Washington Nationals,2,3,+150,-169,20 Sep 2014 23:10,
Minnesota Twins,Cleveland Indians,3,7,+102,-115,20 Sep 2014 23:10,
Tampa Bay Rays,Chicago White Sox,3,1,-175,+156,20 Sep 2014 23:10,
Baltimore Orioles,Boston Red Sox,7,2,-172,+152,20 Sep 2014 23:05,
Pittsburgh Pirates,Milwaukee Brewers,0,1,-130,+116,20 Sep 2014 23:05,
Colorado Rockies,Arizona Diamondbacks,5,1,-115,+100,20 Sep 2014 20:10,
New York Yankees,Toronto Blue Jays,3,6,+106,-119,20 Sep 2014 20:05,
Oakland Athletics,Philadelphia Phillies,0,3,-244,+210,20 Sep 2014 20:05,
Chicago Cubs,Los Angeles Dodgers,8,7,+110,-125,20 Sep 2014 17:05,
Kansas City Royals,Detroit Tigers,2,3,-109,-105,20 Sep 2014 17:05,
San Diego Padres,San Francisco Giants,5,0,+114,-128,20 Sep 2014 02:10,
Los Angeles Angels,Texas Rangers,3,12,-200,+175,20 Sep 2014 02:05,
Oakland Athletics,Philadelphia Phillies,3,1,-286,+248,20 Sep 2014 01:35,
St.Louis Cardinals,Cincinnati Reds,2,1,-222,+194,20 Sep 2014 00:15,
Colorado Rockies,Arizona Diamondbacks,15,3,-112,-101,20 Sep 2014 00:10,
Houston Astros,Seattle Mariners,5,10,+135,-152,20 Sep 2014 00:10,
Kansas City Royals,Detroit Tigers,1,10,-119,+106,20 Sep 2014 00:10,
Minnesota Twins,Cleveland Indians,5,4,-147,+129,20 Sep 2014 00:10,
Atlanta Braves,New York Mets,0,5,-137,+122,19 Sep 2014 23:35,
