team1,team2,score1,score2,odds1,odds2,datetime,notes
Detroit Tigers,San Francisco Giants,3,4,-145,+127,29 Oct 2012 00:00,Play Offs
Detroit Tigers,San Francisco Giants,0,2,-156,+136,29 Oct 2012 01:00,Play Offs
San Francisco Giants,Detroit Tigers,2,0,+104,-120,26 Oct 2012 00:00,Play Offs
San Francisco Giants,Detroit Tigers,8,3,+152,-175,25 Oct 2012 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,9,0,-135,+118,23 Oct 2012 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,6,1,-128,+112,21 Oct 2012 23:30,Play Offs
St.Louis Cardinals,San Francisco Giants,0,5,-159,+139,20 Oct 2012 00:00,Play Offs
St.Louis Cardinals,San Francisco Giants,8,3,-137,+119,19 Oct 2012 00:00,Play Offs
Detroit Tigers,New York Yankees,8,1,+102,-119,18 Oct 2012 20:00,Play Offs
St.Louis Cardinals,San Francisco Giants,3,1,-123,+106,17 Oct 2012 20:00,Play Offs
Detroit Tigers,New York Yankees,2,1,-182,+159,17 Oct 2012 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,7,1,-115,-101,16 Oct 2012 00:00,Play Offs
San Francisco Giants,St.Louis Cardinals,4,6,-122,+106,15 Oct 2012 00:00,Play Offs
New York Yankees,Detroit Tigers,0,3,-141,+122,14 Oct 2012 20:07,Play Offs
New York Yankees,Detroit Tigers,4,6,-132,+119,14 Oct 2012 00:00,Play Offs
Washington Nationals,St.Louis Cardinals,7,9,-128,+112,13 Oct 2012 00:37,Play Offs
New York Yankees,Baltimore Orioles,3,1,-204,+177,12 Oct 2012 21:07,Play Offs
Oakland Athletics,Detroit Tigers,0,6,+116,-133,12 Oct 2012 01:37,Play Offs
New York Yankees,Baltimore Orioles,1,2,-169,+148,11 Oct 2012 23:37,Play Offs
Washington Nationals,St.Louis Cardinals,2,1,-108,-109,11 Oct 2012 20:07,Play Offs
Cincinnati Reds,San Francisco Giants,4,6,-128,+112,11 Oct 2012 17:07,Play Offs
Oakland Athletics,Detroit Tigers,4,3,-109,-105,11 Oct 2012 01:37,Play Offs
New York Yankees,Baltimore Orioles,3,2,-185,+161,10 Oct 2012 23:37,Play Offs
Cincinnati Reds,San Francisco Giants,3,8,-152,+134,10 Oct 2012 20:07,Play Offs
Washington Nationals,St.Louis Cardinals,0,8,-114,-102,10 Oct 2012 17:07,Play Offs
Oakland Athletics,Detroit Tigers,2,0,-137,+119,10 Oct 2012 01:07,Play Offs
Cincinnati Reds,San Francisco Giants,1,2,-145,+127,09 Oct 2012 21:37,Play Offs
Baltimore Orioles,New York Yankees,3,2,+117,-133,09 Oct 2012 00:07,Play Offs
St.Louis Cardinals,Washington Nationals,12,4,-109,-108,08 Oct 2012 20:37,Play Offs
San Francisco Giants,Cincinnati Reds,0,9,-149,+129,08 Oct 2012 01:37,Play Offs
Baltimore Orioles,New York Yankees,2,7,+147,-169,07 Oct 2012 22:07,Play Offs
St.Louis Cardinals,Washington Nationals,2,3,-114,-104,07 Oct 2012 19:07,Play Offs
Detroit Tigers,Oakland Athletics,5,4,-159,+139,07 Oct 2012 16:07,Play Offs
San Francisco Giants,Cincinnati Reds,2,5,-125,+108,07 Oct 2012 01:37,Play Offs
Detroit Tigers,Oakland Athletics,3,1,-192,+168,06 Oct 2012 22:07,Play Offs
Texas Rangers,Baltimore Orioles,1,5,-222,+188,06 Oct 2012 00:37,Wild Card
Atlanta Braves,St.Louis Cardinals,3,6,-172,+149,05 Oct 2012 21:07,Wild Card
St.Louis Cardinals,Cincinnati Reds,1,0,+127,-147,04 Oct 2012 00:15,Wild Card
Kansas City Royals,Detroit Tigers,0,1,-115,-102,04 Oct 2012 00:10,Wild Card
Milwaukee Brewers,San Diego Padres,6,7,-137,+120,04 Oct 2012 00:10,Wild Card
Los Angeles Dodgers,San Francisco Giants,5,1,-189,+168,03 Oct 2012 23:15,Wild Card
Arizona Diamondbacks,Colorado Rockies,1,2,-213,+185,03 Oct 2012 23:10,Wild Card
Tampa Bay Rays,Baltimore Orioles,4,1,+102,-116,03 Oct 2012 23:10,Wild Card
Toronto Blue Jays,Minnesota Twins,2,1,-149,+131,03 Oct 2012 23:07,Wild Card
Cleveland Indians,Chicago White Sox,0,9,-133,+114,03 Oct 2012 23:05,Wild Card
New York Yankees,Boston Red Sox,14,2,-333,+275,03 Oct 2012 23:05,Wild Card
Seattle Mariners,Los Angeles Angels,12,0,+175,-200,03 Oct 2012 22:40,Wild Card
Miami Marlins,New York Mets,2,4,-104,-111,03 Oct 2012 20:10,Wild Card
Oakland Athletics,Texas Rangers,12,5,-109,-104,03 Oct 2012 19:35,Wild Card
Chicago Cubs,Houston Astros,5,4,-125,+106,03 Oct 2012 18:20,Wild Card
