team1,team2,score1,score2,odds1,odds2,datetime,notes
Cleveland Indians,Chicago Cubs,7,8,+114,-130,03 Nov 2016 00:00,Play Offs
Cleveland Indians,Chicago Cubs,3,9,+136,-154,02 Nov 2016 00:05,Play Offs
Chicago Cubs,Cleveland Indians,3,2,-233,+202,31 Oct 2016 00:00,Play Offs
Chicago Cubs,Cleveland Indians,2,7,-135,+106,31 Oct 2016 01:00,Play Offs
Chicago Cubs,Cleveland Indians,0,1,-217,+188,29 Oct 2016 00:00,Play Offs
Cleveland Indians,Chicago Cubs,1,5,+141,-159,26 Oct 2016 23:00,Play Offs
Cleveland Indians,Chicago Cubs,6,0,-111,-102,26 Oct 2016 00:05,Play Offs
Chicago Cubs,Los Angeles Dodgers,5,0,+114,-130,23 Oct 2016 00:00,Play Offs
Los Angeles Dodgers,Chicago Cubs,4,8,+150,-167,21 Oct 2016 00:00,Play Offs
Los Angeles Dodgers,Chicago Cubs,2,10,-114,+100,20 Oct 2016 00:00,Play Offs
Toronto Blue Jays,Cleveland Indians,0,3,-175,+156,19 Oct 2016 20:00,Play Offs
Los Angeles Dodgers,Chicago Cubs,6,0,-111,-103,19 Oct 2016 00:00,Play Offs
Toronto Blue Jays,Cleveland Indians,5,1,-119,+104,18 Oct 2016 20:00,Play Offs
Toronto Blue Jays,Cleveland Indians,2,4,-169,+150,18 Oct 2016 00:00,Play Offs
Chicago Cubs,Los Angeles Dodgers,0,1,+110,-127,17 Oct 2016 00:00,Play Offs
Chicago Cubs,Los Angeles Dodgers,8,4,-217,+189,16 Oct 2016 00:00,Play Offs
Cleveland Indians,Toronto Blue Jays,2,1,+114,-130,15 Oct 2016 20:00,Play Offs
Cleveland Indians,Toronto Blue Jays,2,0,-143,+127,15 Oct 2016 00:00,Play Offs
Washington Nationals,Los Angeles Dodgers,3,4,-133,+118,14 Oct 2016 00:00,Play Offs
San Francisco Giants,Chicago Cubs,5,6,+108,-122,12 Oct 2016 00:30,Play Offs
Los Angeles Dodgers,Washington Nationals,6,5,-233,+200,11 Oct 2016 21:00,Play Offs
San Francisco Giants,Chicago Cubs,6,5,-111,-102,11 Oct 2016 01:30,Play Offs
Boston Red Sox,Cleveland Indians,3,4,-141,+124,10 Oct 2016 22:08,Play Offs
Los Angeles Dodgers,Washington Nationals,3,8,-139,+123,10 Oct 2016 20:00,Play Offs
Toronto Blue Jays,Texas Rangers,7,6,-200,+177,09 Oct 2016 23:30,Play Offs
Washington Nationals,Los Angeles Dodgers,5,2,+104,-118,09 Oct 2016 17:00,Play Offs
Chicago Cubs,San Francisco Giants,5,2,-196,+173,09 Oct 2016 00:00,Play Offs
Chicago Cubs,San Francisco Giants,1,0,-169,+149,08 Oct 2016 01:00,Play Offs
Washington Nationals,Los Angeles Dodgers,3,4,+142,-159,07 Oct 2016 21:30,Play Offs
Cleveland Indians,Boston Red Sox,6,0,-111,-102,07 Oct 2016 20:30,Play Offs
Texas Rangers,Toronto Blue Jays,3,5,-135,+119,07 Oct 2016 17:00,Play Offs
Cleveland Indians,Boston Red Sox,5,4,+112,-128,07 Oct 2016 00:00,Play Offs
Texas Rangers,Toronto Blue Jays,1,10,-120,+104,06 Oct 2016 20:30,Play Offs
New York Mets,San Francisco Giants,0,3,+102,-118,06 Oct 2016 00:00,Wild Card
Toronto Blue Jays,Baltimore Orioles,5,2,-172,+149,05 Oct 2016 00:00,Wild Card
Detroit Tigers,Cleveland Indians,,,-175,+154,03 Oct 2016 17:10,Wild Card
Kansas City Royals,Cleveland Indians,2,3,+106,-122,02 Oct 2016 19:15,Wild Card
St.Louis Cardinals,Pittsburgh Pirates,10,4,-222,+191,02 Oct 2016 19:15,Wild Card
Arizona Diamondbacks,San Diego Padres,3,2,-152,+133,02 Oct 2016 19:10,Wild Card
Atlanta Braves,Detroit Tigers,1,0,+149,-169,02 Oct 2016 19:10,Wild Card
Chicago White Sox,Minnesota Twins,3,6,-256,+221,02 Oct 2016 19:10,Wild Card
Cincinnati Reds,Chicago Cubs,4,7,+211,-244,02 Oct 2016 19:10,Wild Card
Colorado Rockies,Milwaukee Brewers,4,6,-145,+127,02 Oct 2016 19:10,Wild Card
Seattle Mariners,Oakland Athletics,2,3,-130,+114,02 Oct 2016 19:10,Wild Card
Boston Red Sox,Toronto Blue Jays,1,2,-118,+102,02 Oct 2016 19:05,Wild Card
Los Angeles Angels,Houston Astros,8,1,-127,+110,02 Oct 2016 19:05,Wild Card
New York Yankees,Baltimore Orioles,2,5,+127,-145,02 Oct 2016 19:05,Wild Card
Philadelphia Phillies,New York Mets,5,2,-156,+138,02 Oct 2016 19:05,Wild Card
San Francisco Giants,Los Angeles Dodgers,7,1,-116,+102,02 Oct 2016 19:05,Wild Card
Washington Nationals,Miami Marlins,10,7,-263,+225,02 Oct 2016 19:05,Wild Card
Texas Rangers,Tampa Bay Rays,4,6,-156,+137,02 Oct 2016 19:05,
Seattle Mariners,Oakland Athletics,8,9,-167,+150,02 Oct 2016 01:10,
Los Angeles Angels,Houston Astros,0,3,-103,-112,02 Oct 2016 01:05,
Arizona Diamondbacks,San Diego Padres,9,5,-139,+121,02 Oct 2016 00:10,
Colorado Rockies,Milwaukee Brewers,3,4,-133,+116,02 Oct 2016 00:10,
Texas Rangers,Tampa Bay Rays,1,4,-102,-111,02 Oct 2016 00:05,
Atlanta Braves,Detroit Tigers,5,3,+162,-189,01 Oct 2016 23:10,
Boston Red Sox,Toronto Blue Jays,3,4,+108,-123,01 Oct 2016 23:10,
Chicago White Sox,Minnesota Twins,0,6,-120,+106,01 Oct 2016 23:10,
Kansas City Royals,Cleveland Indians,3,6,+123,-141,01 Oct 2016 20:15,
Cincinnati Reds,Chicago Cubs,7,4,+193,-227,01 Oct 2016 20:10,
New York Yankees,Baltimore Orioles,7,3,+106,-122,01 Oct 2016 20:05,
San Francisco Giants,Los Angeles Dodgers,3,0,+167,-189,01 Oct 2016 20:05,
Washington Nationals,Miami Marlins,2,1,-164,+147,01 Oct 2016 20:05,
Philadelphia Phillies,New York Mets,3,5,+149,-167,01 Oct 2016 17:05,
