team1,team2,score1,score2,odds1,odds2,datetime,notes
Los Angeles Dodgers,Houston Astros,1,5,-161,+143,02 Nov 2017 00:20,Play Offs
Los Angeles Dodgers,Houston Astros,3,1,-132,+114,01 Nov 2017 00:20,Play Offs
Houston Astros,Los Angeles Dodgers,13,12,+108,-125,30 Oct 2017 00:20,Play Offs
Houston Astros,Los Angeles Dodgers,2,6,-123,+104,30 Oct 2017 01:00,Play Offs
Houston Astros,Los Angeles Dodgers,5,3,-139,+124,28 Oct 2017 00:00,Play Offs
Los Angeles Dodgers,Houston Astros,6,7,-102,-110,26 Oct 2017 00:00,Play Offs
Los Angeles Dodgers,Houston Astros,3,1,-182,+161,25 Oct 2017 00:00,Play Offs
Houston Astros,New York Yankees,4,0,-149,+131,22 Oct 2017 00:00,Play Offs
Houston Astros,New York Yankees,7,1,-152,+135,21 Oct 2017 00:00,Play Offs
Chicago Cubs,Los Angeles Dodgers,1,11,+131,-149,20 Oct 2017 00:00,Play Offs
Chicago Cubs,Los Angeles Dodgers,3,2,+108,-120,19 Oct 2017 01:00,Play Offs
New York Yankees,Houston Astros,5,0,-108,-104,18 Oct 2017 21:00,Play Offs
Chicago Cubs,Los Angeles Dodgers,1,6,-115,+102,18 Oct 2017 01:00,Play Offs
New York Yankees,Houston Astros,6,4,-118,+104,17 Oct 2017 21:00,Play Offs
New York Yankees,Houston Astros,8,1,-132,+117,17 Oct 2017 00:00,Play Offs
Los Angeles Dodgers,Chicago Cubs,4,1,-161,+144,15 Oct 2017 23:30,Play Offs
Los Angeles Dodgers,Chicago Cubs,5,2,-185,+166,15 Oct 2017 00:00,Play Offs
Houston Astros,New York Yankees,2,1,-120,+106,14 Oct 2017 20:00,Play Offs
Houston Astros,New York Yankees,2,1,-167,+148,14 Oct 2017 00:00,Play Offs
Washington Nationals,Chicago Cubs,8,9,+100,-114,13 Oct 2017 00:00,Play Offs
Cleveland Indians,New York Yankees,2,5,-192,+168,12 Oct 2017 00:00,Play Offs
Chicago Cubs,Washington Nationals,0,5,-108,-106,11 Oct 2017 20:00,Play Offs
Arizona Diamondbacks,Los Angeles Dodgers,1,3,+100,-114,10 Oct 2017 02:00,Play Offs
New York Yankees,Cleveland Indians,7,3,-161,+143,09 Oct 2017 23:00,Play Offs
Chicago Cubs,Washington Nationals,2,1,-103,-111,09 Oct 2017 20:00,Play Offs
Boston Red Sox,Houston Astros,4,5,+108,-123,09 Oct 2017 17:00,Play Offs
New York Yankees,Cleveland Indians,1,0,-108,-105,08 Oct 2017 23:30,Play Offs
Boston Red Sox,Houston Astros,10,3,+112,-128,08 Oct 2017 18:30,Play Offs
Los Angeles Dodgers,Arizona Diamondbacks,8,5,-145,+129,08 Oct 2017 01:00,Play Offs
Washington Nationals,Chicago Cubs,6,3,-123,+106,07 Oct 2017 21:30,Play Offs
Los Angeles Dodgers,Arizona Diamondbacks,9,5,-256,+227,07 Oct 2017 02:30,Play Offs
Washington Nationals,Chicago Cubs,0,3,-147,+129,06 Oct 2017 23:30,Play Offs
Cleveland Indians,New York Yankees,9,8,-213,+186,06 Oct 2017 21:00,Play Offs
Houston Astros,Boston Red Sox,8,2,-179,+158,06 Oct 2017 18:00,Play Offs
Cleveland Indians,New York Yankees,4,0,-137,+122,05 Oct 2017 23:30,Play Offs
Houston Astros,Boston Red Sox,8,2,-139,+123,05 Oct 2017 20:00,Play Offs
Arizona Diamondbacks,Colorado Rockies,11,8,-152,+133,05 Oct 2017 00:00,Wild Card
New York Yankees,Minnesota Twins,8,4,-263,+227,04 Oct 2017 00:00,Wild Card
Chicago Cubs,Cincinnati Reds,1,3,-185,+164,01 Oct 2017 19:20,Wild Card
Kansas City Royals,Arizona Diamondbacks,2,14,+112,-128,01 Oct 2017 19:15,Wild Card
St.Louis Cardinals,Milwaukee Brewers,1,6,-130,+114,01 Oct 2017 19:15,Wild Card
Cleveland Indians,Chicago White Sox,3,1,-213,+188,01 Oct 2017 19:10,Wild Card
Colorado Rockies,Los Angeles Dodgers,3,6,+131,-147,01 Oct 2017 19:10,Wild Card
Miami Marlins,Atlanta Braves,5,8,-167,+149,01 Oct 2017 19:10,Wild Card
Minnesota Twins,Detroit Tigers,5,1,-154,+138,01 Oct 2017 19:10,Wild Card
Tampa Bay Rays,Baltimore Orioles,6,0,-122,+108,01 Oct 2017 19:10,Wild Card
Los Angeles Angels,Seattle Mariners,6,2,+112,-128,01 Oct 2017 19:07,Wild Card
Boston Red Sox,Houston Astros,3,4,+117,-132,01 Oct 2017 19:05,Wild Card
San Francisco Giants,San Diego Padres,5,4,-149,+131,01 Oct 2017 19:05,Wild Card
Texas Rangers,Oakland Athletics,2,5,-149,+131,01 Oct 2017 19:05,Wild Card
New York Yankees,Toronto Blue Jays,1,2,-185,+166,01 Oct 2017 19:05,
Philadelphia Phillies,New York Mets,11,0,-141,+124,01 Oct 2017 19:05,
Washington Nationals,Pittsburgh Pirates,8,11,-204,+177,01 Oct 2017 19:05,
Los Angeles Angels,Seattle Mariners,4,6,-122,+108,01 Oct 2017 01:07,
Colorado Rockies,Los Angeles Dodgers,3,5,+191,-217,01 Oct 2017 00:10,
Texas Rangers,Oakland Athletics,8,4,-125,+110,01 Oct 2017 00:05,
Kansas City Royals,Arizona Diamondbacks,4,3,-119,+104,30 Sep 2017 23:15,
Cleveland Indians,Chicago White Sox,1,2,-385,+323,30 Sep 2017 23:10,
Miami Marlins,Atlanta Braves,10,2,-120,+106,30 Sep 2017 23:10,
Minnesota Twins,Detroit Tigers,2,3,-200,+177,30 Sep 2017 23:10,
Philadelphia Phillies,New York Mets,4,7,-125,+110,30 Sep 2017 23:05,
Washington Nationals,Pittsburgh Pirates,1,4,-278,+238,30 Sep 2017 23:05,
Tampa Bay Rays,Baltimore Orioles,4,3,-200,+177,30 Sep 2017 22:10,
St.Louis Cardinals,Milwaukee Brewers,7,6,-135,+121,30 Sep 2017 20:15,
Chicago Cubs,Cincinnati Reds,9,0,-208,+181,30 Sep 2017 20:05,
San Francisco Giants,San Diego Padres,2,3,-102,-111,30 Sep 2017 20:05,
Boston Red Sox,Houston Astros,6,3,-106,-106,30 Sep 2017 17:05,
New York Yankees,Toronto Blue Jays,2,1,-156,+138,30 Sep 2017 17:05,
San Francisco Giants,San Diego Padres,8,0,-125,+110,30 Sep 2017 02:15,
Los Angeles Angels,Seattle Mariners,6,5,-132,+117,30 Sep 2017 02:07,
Kansas City Royals,Arizona Diamondbacks,2,1,+138,-156,30 Sep 2017 00:15,
St.Louis Cardinals,Milwaukee Brewers,3,5,-101,-112,30 Sep 2017 00:15,
Colorado Rockies,Los Angeles Dodgers,9,1,+129,-147,30 Sep 2017 00:10,
Minnesota Twins,Detroit Tigers,6,3,-179,+158,30 Sep 2017 00:10,
Texas Rangers,Oakland Athletics,5,3,-130,+114,30 Sep 2017 00:05,
Boston Red Sox,Houston Astros,2,3,+100,-114,29 Sep 2017 23:10,
Cleveland Indians,Chicago White Sox,10,1,-312,+261,29 Sep 2017 23:10,
Miami Marlins,Atlanta Braves,6,5,-133,+118,29 Sep 2017 23:10,
Tampa Bay Rays,Baltimore Orioles,7,0,-120,+106,29 Sep 2017 23:10,
Philadelphia Phillies,New York Mets,6,2,-143,+125,29 Sep 2017 23:05,
Washington Nationals,Pittsburgh Pirates,6,1,-204,+177,29 Sep 2017 23:05,
Chicago Cubs,Cincinnati Reds,5,4,-179,+158,29 Sep 2017 18:20,
New York Yankees,Toronto Blue Jays,4,0,-238,+206,29 Sep 2017 17:05,
Kansas City Royals,Detroit Tigers,1,4,-204,+177,29 Sep 2017 00:15,
Chicago White Sox,Los Angeles Angels,5,4,+104,-118,29 Sep 2017 00:10,
Texas Rangers,Oakland Athletics,1,4,+110,-127,29 Sep 2017 00:05,
St.Louis Cardinals,Chicago Cubs,1,2,-143,+125,28 Sep 2017 23:15,
Boston Red Sox,Houston Astros,2,12,-104,-110,28 Sep 2017 23:10,
Miami Marlins,Atlanta Braves,7,1,-133,+118,28 Sep 2017 23:10,
New York Yankees,Tampa Bay Rays,6,9,-208,+181,28 Sep 2017 23:05,
Washington Nationals,Pittsburgh Pirates,5,4,-120,+104,28 Sep 2017 23:05,
Milwaukee Brewers,Cincinnati Reds,4,3,-161,+144,28 Sep 2017 20:10,
Cleveland Indians,Minnesota Twins,5,2,-278,+241,28 Sep 2017 16:10,
Los Angeles Dodgers,San Diego Padres,10,0,-250,+219,28 Sep 2017 02:10,
Kansas City Royals,Detroit Tigers,7,4,-172,+154,28 Sep 2017 00:15,
Chicago White Sox,Los Angeles Angels,6,4,+181,-204,28 Sep 2017 00:10,
Milwaukee Brewers,Cincinnati Reds,0,6,-141,+124,28 Sep 2017 00:10,
Boston Red Sox,Toronto Blue Jays,10,7,-141,+124,27 Sep 2017 23:10,
Cleveland Indians,Minnesota Twins,4,2,-196,+174,27 Sep 2017 23:10,
New York Mets,Atlanta Braves,7,1,+106,-120,27 Sep 2017 23:10,
St.Louis Cardinals,Chicago Cubs,1,5,-119,+106,27 Sep 2017 23:08,
New York Yankees,Tampa Bay Rays,6,1,-244,+212,27 Sep 2017 23:05,
Philadelphia Phillies,Washington Nationals,7,5,+135,-154,27 Sep 2017 23:05,
Pittsburgh Pirates,Baltimore Orioles,5,3,-147,+129,27 Sep 2017 23:05,
Arizona Diamondbacks,San Francisco Giants,4,3,-135,+120,27 Sep 2017 19:40,
Oakland Athletics,Seattle Mariners,6,5,-108,-106,27 Sep 2017 19:35,
Colorado Rockies,Miami Marlins,15,9,-208,+181,27 Sep 2017 19:10,
Texas Rangers,Houston Astros,2,12,+192,-222,27 Sep 2017 18:05,
