team1,team2,score1,score2,odds1,odds2,datetime,notes
New York Mets,Kansas City Royals,2,7,-149,+131,02 Nov 2015 00:15,Play Offs
New York Mets,Kansas City Royals,3,5,-135,+119,01 Nov 2015 00:07,Play Offs
New York Mets,Kansas City Royals,9,3,-145,+129,31 Oct 2015 00:00,Play Offs
Kansas City Royals,New York Mets,7,1,+104,-119,29 Oct 2015 00:00,Play Offs
Kansas City Royals,New York Mets,5,4,-108,-105,28 Oct 2015 00:00,Play Offs
Kansas City Royals,Toronto Blue Jays,4,3,+124,-141,24 Oct 2015 00:00,Play Offs
Chicago Cubs,New York Mets,3,8,-111,-102,22 Oct 2015 00:00,Play Offs
Toronto Blue Jays,Kansas City Royals,7,1,-139,+123,21 Oct 2015 20:00,Play Offs
Chicago Cubs,New York Mets,2,5,-106,-108,21 Oct 2015 00:00,Play Offs
Toronto Blue Jays,Kansas City Royals,2,14,-159,+140,20 Oct 2015 20:00,Play Offs
Toronto Blue Jays,Kansas City Royals,11,8,-159,+142,20 Oct 2015 00:07,Play Offs
New York Mets,Chicago Cubs,4,1,+125,-143,19 Oct 2015 00:00,Play Offs
New York Mets,Chicago Cubs,4,2,-123,+110,17 Oct 2015 23:30,Play Offs
Kansas City Royals,Toronto Blue Jays,6,3,+140,-156,17 Oct 2015 19:30,Play Offs
Kansas City Royals,Toronto Blue Jays,5,0,+104,-119,16 Oct 2015 23:30,Play Offs
Los Angeles Dodgers,New York Mets,2,3,-143,+127,16 Oct 2015 00:00,Play Offs
Kansas City Royals,Houston Astros,7,2,-127,+110,15 Oct 2015 00:00,Play Offs
Toronto Blue Jays,Texas Rangers,6,3,-169,+152,14 Oct 2015 20:00,Play Offs
New York Mets,Los Angeles Dodgers,1,3,+134,-152,14 Oct 2015 00:00,Play Offs
Chicago Cubs,St.Louis Cardinals,6,4,-119,+102,13 Oct 2015 20:30,Play Offs
New York Mets,Los Angeles Dodgers,13,7,-169,+150,13 Oct 2015 00:30,Play Offs
Chicago Cubs,St.Louis Cardinals,8,6,-208,+186,12 Oct 2015 22:00,Play Offs
Texas Rangers,Toronto Blue Jays,4,8,+138,-154,12 Oct 2015 20:00,Play Offs
Houston Astros,Kansas City Royals,6,9,-125,+110,12 Oct 2015 17:00,Play Offs
Texas Rangers,Toronto Blue Jays,1,5,+125,-143,12 Oct 2015 00:00,Play Offs
Houston Astros,Kansas City Royals,4,2,-182,+162,11 Oct 2015 20:00,Play Offs
Los Angeles Dodgers,New York Mets,5,2,-182,+161,11 Oct 2015 01:00,Play Offs
St.Louis Cardinals,Chicago Cubs,3,6,-135,+119,10 Oct 2015 21:30,Play Offs
Los Angeles Dodgers,New York Mets,1,3,-192,+169,10 Oct 2015 01:30,Play Offs
St.Louis Cardinals,Chicago Cubs,4,0,-111,-102,09 Oct 2015 22:30,Play Offs
Kansas City Royals,Houston Astros,5,4,-132,+116,09 Oct 2015 19:30,Play Offs
Toronto Blue Jays,Texas Rangers,4,6,-179,+158,09 Oct 2015 16:30,Play Offs
Kansas City Royals,Houston Astros,2,5,-132,+116,08 Oct 2015 23:30,Play Offs
Toronto Blue Jays,Texas Rangers,3,5,-238,+206,08 Oct 2015 19:30,Play Offs
Pittsburgh Pirates,Chicago Cubs,0,4,+117,-132,08 Oct 2015 00:00,Wild Card
New York Yankees,Houston Astros,0,3,-104,-110,07 Oct 2015 00:00,Wild Card
Arizona Diamondbacks,Houston Astros,5,3,+139,-156,04 Oct 2015 19:10,Wild Card
Chicago White Sox,Detroit Tigers,0,6,-132,+117,04 Oct 2015 19:10,Wild Card
Cleveland Indians,Boston Red Sox,3,1,-120,+106,04 Oct 2015 19:10,Wild Card
Los Angeles Dodgers,San Diego Padres,6,3,-345,+298,04 Oct 2015 19:10,Wild Card
Milwaukee Brewers,Chicago Cubs,1,3,+120,-135,04 Oct 2015 19:10,Wild Card
Minnesota Twins,Kansas City Royals,1,6,+156,-175,04 Oct 2015 19:10,Wild Card
New York Mets,Washington Nationals,1,0,-208,+183,04 Oct 2015 19:10,Wild Card
Seattle Mariners,Oakland Athletics,3,2,-116,+102,04 Oct 2015 19:10,Wild Card
Tampa Bay Rays,Toronto Blue Jays,12,3,+136,-152,04 Oct 2015 19:10,Wild Card
Baltimore Orioles,New York Yankees,9,4,+125,-139,04 Oct 2015 19:05,Wild Card
Philadelphia Phillies,Miami Marlins,7,2,+112,-128,04 Oct 2015 19:05,Wild Card
Pittsburgh Pirates,Cincinnati Reds,4,0,-213,+185,04 Oct 2015 19:05,Wild Card
San Francisco Giants,Colorado Rockies,3,7,-120,+106,04 Oct 2015 19:05,Wild Card
Texas Rangers,Los Angeles Angels,9,2,-125,+110,04 Oct 2015 19:05,Wild Card
Atlanta Braves,St.Louis Cardinals,2,0,+121,-135,04 Oct 2015 19:00,
Atlanta Braves,St.Louis Cardinals,6,0,+129,-147,04 Oct 2015 17:00,
Los Angeles Dodgers,San Diego Padres,2,1,-303,+258,04 Oct 2015 01:10,
Seattle Mariners,Oakland Athletics,5,7,-145,+127,04 Oct 2015 01:10,
Arizona Diamondbacks,Houston Astros,2,6,+149,-169,04 Oct 2015 00:10,
Chicago White Sox,Detroit Tigers,4,3,+110,-125,03 Oct 2015 23:10,
Cleveland Indians,Boston Red Sox,2,0,-196,+174,03 Oct 2015 23:10,
Milwaukee Brewers,Chicago Cubs,0,1,+175,-200,03 Oct 2015 23:10,
New York Mets,Washington Nationals,0,2,-116,+102,03 Oct 2015 23:10,
Baltimore Orioles,New York Yankees,4,3,-101,-114,03 Oct 2015 23:05,
Pittsburgh Pirates,Cincinnati Reds,1,3,-189,+167,03 Oct 2015 23:05,
Tampa Bay Rays,Toronto Blue Jays,4,3,-111,-104,03 Oct 2015 22:10,
Philadelphia Phillies,Miami Marlins,2,5,+117,-133,03 Oct 2015 22:05,
Philadelphia Phillies,Miami Marlins,6,7,+104,-119,03 Oct 2015 20:05,
San Francisco Giants,Colorado Rockies,3,2,-127,+110,03 Oct 2015 20:05,
New York Mets,Washington Nationals,1,3,-154,+136,03 Oct 2015 17:10,
Minnesota Twins,Kansas City Royals,1,5,+106,-122,03 Oct 2015 17:05,
Texas Rangers,Los Angeles Angels,10,11,-111,-103,03 Oct 2015 17:05,
Baltimore Orioles,New York Yankees,9,2,-147,+131,03 Oct 2015 16:05,
San Francisco Giants,Colorado Rockies,3,9,-147,+129,03 Oct 2015 02:15,
Los Angeles Dodgers,San Diego Padres,6,2,-196,+171,03 Oct 2015 02:10,
