team1,team2,score1,score2,odds1,odds2,datetime,notes
St.Louis Cardinals,Detroit Tigers,4,2,+110,-130,27 Oct 2006 21:55,Play Offs
St.Louis Cardinals,Detroit Tigers,5,4,-115,-105,26 Oct 2006 21:55,Play Offs
St.Louis Cardinals,Detroit Tigers,5,0,-149,+125,24 Oct 2006 21:55,Play Offs
Detroit Tigers,St.Louis Cardinals,3,1,-182,+150,22 Oct 2006 21:55,Play Offs
Detroit Tigers,St.Louis Cardinals,2,7,-196,+160,21 Oct 2006 21:55,Play Offs
New York Mets,St.Louis Cardinals,1,3,-120,+100,19 Oct 2006 21:55,Play Offs
New York Mets,St.Louis Cardinals,4,2,+104,-125,18 Oct 2006 20:00,Play Offs
St.Louis Cardinals,New York Mets,4,2,+114,-137,17 Oct 2006 21:55,Play Offs
St.Louis Cardinals,New York Mets,5,12,-125,+104,15 Oct 2006 21:55,Play Offs
Detroit Tigers,Oakland Athletics,6,3,-196,+160,14 Oct 2006 20:30,Play Offs
New York Mets,St.Louis Cardinals,6,9,+100,-120,13 Oct 2006 21:55,Play Offs
New York Mets,St.Louis Cardinals,2,0,-182,+150,12 Oct 2006 21:55,Play Offs
Oakland Athletics,Detroit Tigers,5,8,-110,-110,11 Oct 2006 17:00,Play Offs
Oakland Athletics,Detroit Tigers,1,5,-137,+114,10 Oct 2006 21:55,Play Offs
St.Louis Cardinals,San Diego Padres,6,2,-189,+154,08 Oct 2006 21:55,Play Offs
Los Angeles Dodgers,New York Mets,5,9,-137,+114,07 Oct 2006 21:55,Play Offs
St.Louis Cardinals,San Diego Padres,1,3,-115,-105,07 Oct 2006 21:55,Play Offs
Detroit Tigers,New York Yankees,8,3,+104,-125,07 Oct 2006 20:00,Play Offs
Detroit Tigers,New York Yankees,6,0,+125,-154,06 Oct 2006 21:55,Play Offs
Oakland Athletics,Minnesota Twins,8,3,-149,+125,06 Oct 2006 20:00,Play Offs
San Diego Padres,St.Louis Cardinals,0,2,-147,+122,05 Oct 2006 20:00,Play Offs
New York Yankees,Detroit Tigers,3,4,-222,+179,05 Oct 2006 17:05,Play Offs
New York Yankees,Detroit Tigers,8,4,-222,+179,03 Oct 2006 21:55,Play Offs
San Diego Padres,St.Louis Cardinals,1,5,-115,-105,03 Oct 2006 20:00,Play Offs
Minnesota Twins,Oakland Athletics,2,3,-196,+160,03 Oct 2006 17:00,Play Offs
Seattle Mariners,Texas Rangers,3,2,-105,-115,01 Oct 2006 20:05,Play Offs
Los Angeles Angels,Oakland Athletics,10,11,+100,-120,01 Oct 2006 19:35,Play Offs
Boston Red Sox,Baltimore Orioles,9,0,-149,+125,01 Oct 2006 18:05,Play Offs
Cleveland Indians,Tampa Bay Rays,6,3,-182,+150,01 Oct 2006 17:05,Play Offs
New York Yankees,Toronto Blue Jays,5,7,-169,+140,01 Oct 2006 17:05,Play Offs
Washington Nationals,New York Mets,2,6,-105,-115,01 Oct 2006 17:05,Play Offs
Boston Red Sox,Baltimore Orioles,4,5,-130,+110,30 Sep 2006 21:55,Play Offs
Los Angeles Angels,Oakland Athletics,7,6,-110,-110,30 Sep 2006 21:55,Play Offs
Washington Nationals,New York Mets,0,13,+100,-120,30 Sep 2006 21:55,Play Offs
St.Louis Cardinals,Milwaukee Brewers,3,2,-115,-105,30 Sep 2006 20:15,Play Offs
Seattle Mariners,Texas Rangers,3,1,-115,-105,30 Sep 2006 20:05,Play Offs
Minnesota Twins,Chicago White Sox,3,6,-125,+104,30 Sep 2006 16:10,Play Offs
Boston Red Sox,Baltimore Orioles,4,3,+104,-125,29 Sep 2006 21:55,Play Offs
Detroit Tigers,Kansas City Royals,7,9,-233,+190,29 Sep 2006 21:55,Play Offs
Minnesota Twins,Chicago White Sox,3,4,-120,+100,29 Sep 2006 21:55,Play Offs
Pittsburgh Pirates,Cincinnati Reds,2,5,-115,-105,29 Sep 2006 21:55,Play Offs
San Francisco Giants,Los Angeles Dodgers,3,4,+110,-130,29 Sep 2006 21:55,Play Offs
Chicago Cubs,Colorado Rockies,2,5,-200,+165,29 Sep 2006 18:20,Play Offs
Cleveland Indians,Tampa Bay Rays,5,4,-169,+140,28 Sep 2006 21:55,Play Offs
Colorado Rockies,Los Angeles Dodgers,11,19,+114,-137,28 Sep 2006 19:05,Play Offs
Boston Red Sox,Tampa Bay Rays,0,11,-250,+200,27 Sep 2006 21:55,Play Offs
Cleveland Indians,Chicago White Sox,1,2,-137,+114,27 Sep 2006 21:55,Play Offs
Minnesota Twins,Kansas City Royals,4,6,-233,+190,27 Sep 2006 21:55,Play Offs
New York Yankees,Baltimore Orioles,16,5,-233,+190,27 Sep 2006 21:55,Play Offs
St.Louis Cardinals,San Diego Padres,4,2,+100,-120,27 Sep 2006 21:55,Play Offs
Atlanta Braves,New York Mets,13,1,-105,-115,27 Sep 2006 21:55,
Chicago Cubs,Milwaukee Brewers,3,2,-115,-105,27 Sep 2006 21:55,
Colorado Rockies,Los Angeles Dodgers,4,6,+104,-125,27 Sep 2006 21:55,
Detroit Tigers,Toronto Blue Jays,4,7,-175,+145,27 Sep 2006 21:55,
Miami Marlins,Cincinnati Reds,7,2,-169,+140,27 Sep 2006 21:55,
Pittsburgh Pirates,Houston Astros,6,7,+120,-143,27 Sep 2006 21:55,
Washington Nationals,Philadelphia Phillies,7,8,+165,-200,27 Sep 2006 21:55,
San Francisco Giants,Arizona Diamondbacks,3,6,-120,+100,27 Sep 2006 19:35,
Boston Red Sox,Tampa Bay Rays,5,1,-200,+165,26 Sep 2006 21:55,
Detroit Tigers,Toronto Blue Jays,4,3,-208,+170,26 Sep 2006 21:55,
Los Angeles Angels,Texas Rangers,2,5,-154,+129,26 Sep 2006 21:55,
Miami Marlins,Cincinnati Reds,3,5,-196,+160,26 Sep 2006 21:55,
Minnesota Twins,Kansas City Royals,3,2,-370,+290,26 Sep 2006 21:55,
New York Yankees,Baltimore Orioles,5,4,-233,+190,26 Sep 2006 21:55,
Pittsburgh Pirates,Houston Astros,4,7,+114,-137,26 Sep 2006 21:55,
Washington Nationals,Philadelphia Phillies,4,3,+154,-189,26 Sep 2006 21:55,
Cleveland Indians,Chicago White Sox,14,1,+100,-120,25 Sep 2006 21:55,
Los Angeles Angels,Texas Rangers,8,3,-137,+114,25 Sep 2006 21:55,
Minnesota Twins,Kansas City Royals,8,1,-233,+190,25 Sep 2006 21:55,
San Francisco Giants,Arizona Diamondbacks,1,7,-169,+140,25 Sep 2006 21:55,
Toronto Blue Jays,Boston Red Sox,5,0,-125,+104,25 Sep 2006 21:55,
Cincinnati Reds,Chicago Cubs,5,4,-208,+170,25 Sep 2006 16:35,
Los Angeles Dodgers,Arizona Diamondbacks,5,1,-154,+129,24 Sep 2006 20:10,
San Diego Padres,Pittsburgh Pirates,2,1,-200,+165,24 Sep 2006 20:05,
Colorado Rockies,Atlanta Braves,9,8,+114,-137,24 Sep 2006 19:05,
Kansas City Royals,Detroit Tigers,4,11,+135,-164,24 Sep 2006 18:10,
Chicago White Sox,Seattle Mariners,12,7,-200,+165,24 Sep 2006 18:05,
Milwaukee Brewers,San Francisco Giants,5,3,-120,+100,24 Sep 2006 18:05,
Texas Rangers,Cleveland Indians,6,11,-149,+125,24 Sep 2006 18:05,
Baltimore Orioles,Minnesota Twins,3,6,-105,-115,24 Sep 2006 17:35,
Tampa Bay Rays,New York Yankees,11,4,+190,-233,24 Sep 2006 17:15,
Toronto Blue Jays,Boston Red Sox,13,4,-164,+135,24 Sep 2006 17:05,
Chicago White Sox,Seattle Mariners,11,7,-137,+114,23 Sep 2006 21:55,
Cincinnati Reds,Chicago Cubs,4,11,+125,-149,23 Sep 2006 21:55,
Colorado Rockies,Atlanta Braves,10,9,-143,+120,23 Sep 2006 21:55,
Houston Astros,St.Louis Cardinals,7,4,-182,+150,23 Sep 2006 21:55,
Milwaukee Brewers,San Francisco Giants,10,8,-143,+120,23 Sep 2006 21:55,
San Diego Padres,Pittsburgh Pirates,2,1,-200,+165,23 Sep 2006 21:55,
Tampa Bay Rays,New York Yankees,8,0,+179,-222,23 Sep 2006 21:55,
Texas Rangers,Cleveland Indians,3,6,-175,+145,23 Sep 2006 21:55,
Oakland Athletics,Los Angeles Angels,2,6,-115,-105,23 Sep 2006 20:05,
Colorado Rockies,Atlanta Braves,6,4,+100,-120,22 Sep 2006 21:55,
Houston Astros,St.Louis Cardinals,6,5,-130,+110,22 Sep 2006 21:55,
Philadelphia Phillies,Miami Marlins,5,2,-208,+170,22 Sep 2006 18:00,
Chicago White Sox,Seattle Mariners,0,9,-189,+154,21 Sep 2006 21:55,
Colorado Rockies,Atlanta Braves,3,6,+114,-137,21 Sep 2006 21:55,
Houston Astros,St.Louis Cardinals,6,5,+120,-143,21 Sep 2006 21:55,
Milwaukee Brewers,San Francisco Giants,9,4,-130,+110,21 Sep 2006 21:55,
San Diego Padres,Arizona Diamondbacks,3,1,-110,-110,21 Sep 2006 21:55,
Washington Nationals,Atlanta Braves,3,7,-110,-110,20 Sep 2006 21:55,
Boston Red Sox,Minnesota Twins,2,8,-149,+125,20 Sep 2006 21:55,
Chicago White Sox,Detroit Tigers,2,6,-125,+104,20 Sep 2006 21:55,
Kansas City Royals,Los Angeles Angels,0,3,+125,-149,20 Sep 2006 21:55,
Los Angeles Dodgers,Pittsburgh Pirates,4,6,-233,+190,20 Sep 2006 21:55,
Milwaukee Brewers,St.Louis Cardinals,1,0,+114,-137,20 Sep 2006 21:55,
New York Mets,Miami Marlins,3,6,+100,-120,20 Sep 2006 21:55,
San Diego Padres,Arizona Diamondbacks,2,8,-169,+140,20 Sep 2006 21:55,
Texas Rangers,Seattle Mariners,3,6,-143,+120,20 Sep 2006 21:55,
Tampa Bay Rays,Baltimore Orioles,4,2,-130,+110,20 Sep 2006 20:15,
Colorado Rockies,San Francisco Giants,4,7,+104,-125,20 Sep 2006 19:05,
Houston Astros,Cincinnati Reds,7,2,-143,+120,20 Sep 2006 18:05,
Boston Red Sox,Minnesota Twins,3,7,-125,+104,19 Sep 2006 21:55,
Chicago White Sox,Detroit Tigers,7,0,-120,+100,19 Sep 2006 21:55,
Colorado Rockies,San Francisco Giants,12,4,+110,-130,19 Sep 2006 21:55,
Houston Astros,Cincinnati Reds,4,5,-143,+120,19 Sep 2006 21:55,
Oakland Athletics,Cleveland Indians,7,3,-143,+120,19 Sep 2006 21:55,
Philadelphia Phillies,Chicago Cubs,4,1,-233,+190,19 Sep 2006 21:55,
San Diego Padres,Arizona Diamondbacks,5,2,-143,+120,19 Sep 2006 21:55,
Tampa Bay Rays,Baltimore Orioles,4,5,+114,-137,19 Sep 2006 21:55,
Texas Rangers,Seattle Mariners,7,9,-125,+104,19 Sep 2006 21:55,
Toronto Blue Jays,New York Yankees,3,6,+114,-137,19 Sep 2006 21:55,
Washington Nationals,Atlanta Braves,9,2,+114,-137,19 Sep 2006 21:55,
Chicago White Sox,Detroit Tigers,2,8,-120,+100,18 Sep 2006 21:55,
Houston Astros,Cincinnati Reds,5,3,-233,+190,18 Sep 2006 21:55,
