team1,team2,score1,score2,odds1,odds2,datetime,notes
Boston Red Sox,St.Louis Cardinals,6,1,-118,+102,31 Oct 2013 00:07,Play Offs
St.Louis Cardinals,Boston Red Sox,1,3,-132,+116,29 Oct 2013 00:07,Play Offs
St.Louis Cardinals,Boston Red Sox,2,4,+100,-115,28 Oct 2013 00:00,Play Offs
St.Louis Cardinals,Boston Red Sox,5,4,-164,+200,28 Oct 2013 01:05,Play Offs
Boston Red Sox,St.Louis Cardinals,2,4,-116,+100,25 Oct 2013 00:00,Play Offs
Boston Red Sox,St.Louis Cardinals,8,1,-122,+108,23 Oct 2013 23:30,Play Offs
Boston Red Sox,Detroit Tigers,5,2,-111,-101,20 Oct 2013 00:00,Play Offs
St.Louis Cardinals,Los Angeles Dodgers,9,0,+117,-133,19 Oct 2013 00:30,Play Offs
Detroit Tigers,Boston Red Sox,3,4,-118,+102,18 Oct 2013 00:00,Play Offs
Detroit Tigers,Boston Red Sox,7,3,-114,-101,17 Oct 2013 00:00,Play Offs
Los Angeles Dodgers,St.Louis Cardinals,6,4,-172,+154,16 Oct 2013 20:00,Play Offs
Los Angeles Dodgers,St.Louis Cardinals,2,4,-132,+114,16 Oct 2013 00:00,Play Offs
Detroit Tigers,Boston Red Sox,0,1,-143,+127,15 Oct 2013 20:00,Play Offs
Los Angeles Dodgers,St.Louis Cardinals,3,0,-101,-112,15 Oct 2013 00:00,Play Offs
Boston Red Sox,Detroit Tigers,6,5,-133,+118,14 Oct 2013 00:00,Play Offs
Boston Red Sox,Detroit Tigers,0,1,-145,+125,13 Oct 2013 00:00,Play Offs
St.Louis Cardinals,Los Angeles Dodgers,1,0,+120,-133,12 Oct 2013 20:00,Play Offs
St.Louis Cardinals,Los Angeles Dodgers,3,2,+114,-132,12 Oct 2013 00:30,Play Offs
Oakland Athletics,Detroit Tigers,0,3,-104,-111,11 Oct 2013 00:00,Play Offs
St.Louis Cardinals,Pittsburgh Pirates,6,1,-167,+147,10 Oct 2013 00:00,Play Offs
Tampa Bay Rays,Boston Red Sox,1,3,+102,-120,09 Oct 2013 00:30,Play Offs
Detroit Tigers,Oakland Athletics,8,6,-152,+135,08 Oct 2013 21:00,Play Offs
Los Angeles Dodgers,Atlanta Braves,4,3,-233,+199,08 Oct 2013 01:30,Play Offs
Tampa Bay Rays,Boston Red Sox,5,4,-108,-109,07 Oct 2013 22:00,Play Offs
Pittsburgh Pirates,St.Louis Cardinals,1,2,+102,-118,07 Oct 2013 19:00,Play Offs
Detroit Tigers,Oakland Athletics,3,6,-159,+141,07 Oct 2013 17:00,Play Offs
Los Angeles Dodgers,Atlanta Braves,13,6,-145,+127,07 Oct 2013 00:00,Play Offs
Pittsburgh Pirates,St.Louis Cardinals,5,3,-164,+147,06 Oct 2013 20:30,Play Offs
Oakland Athletics,Detroit Tigers,1,0,-101,-112,06 Oct 2013 01:00,Play Offs
Boston Red Sox,Tampa Bay Rays,7,4,-106,-108,05 Oct 2013 21:30,Play Offs
Oakland Athletics,Detroit Tigers,2,3,+102,-116,05 Oct 2013 01:30,Play Offs
Atlanta Braves,Los Angeles Dodgers,4,3,+100,-115,04 Oct 2013 22:00,Play Offs
Boston Red Sox,Tampa Bay Rays,12,2,-145,+127,04 Oct 2013 19:00,Play Offs
St.Louis Cardinals,Pittsburgh Pirates,1,7,-128,+112,04 Oct 2013 17:00,Play Offs
Atlanta Braves,Los Angeles Dodgers,1,6,+125,-141,04 Oct 2013 00:30,Play Offs
St.Louis Cardinals,Pittsburgh Pirates,9,1,-147,+131,03 Oct 2013 21:00,Play Offs
Cleveland Indians,Tampa Bay Rays,0,4,-101,-114,03 Oct 2013 00:00,Wild Card
